species_name,birdlife_id,birdlife_common_name,ebird_id,ebird_common_name,ebird_species_fullname,ebird_species_name,jetz_species_name
Zentrygon chiriquensis,22690936,Chiriqui Quail-dove,2398,Chiriqui Quail-Dove,Zentrygon chiriquensis,Zentrygon chiriquensis,Geotrygon_chiriquensis
Zentrygon goldmani,22690942,Russet-crowned Quail-dove,2399,Russet-crowned Quail-Dove,Zentrygon goldmani,Zentrygon goldmani,Geotrygon_goldmani
Zenaida asiatica,22733956,White-winged Dove,2404,White-winged Dove,Zenaida asiatica,Zenaida asiatica,Zenaida_asiatica
Zenaida meloda,22733372,West Peruvian Dove,2403,West Peruvian Dove,Zenaida meloda,Zenaida meloda,Zenaida_meloda
Zenaida aurita,22690750,Zenaida Dove,2408,Zenaida Dove,Zenaida aurita,Zenaida aurita,Zenaida_aurita
Zenaida galapagoensis,22690758,Galapagos Dove,2412,Galapagos Dove,Zenaida galapagoensis,Zenaida galapagoensis,Zenaida_galapagoensis
Zenaida auriculata,22690747,Eared Dove,2415,Eared Dove,Zenaida auriculata,Zenaida auriculata,Zenaida_auriculata
Zenaida macroura,22690736,Mourning Dove,2427,Mourning Dove,Zenaida macroura,Zenaida macroura,Zenaida_macroura
Zenaida graysoni,22690740,Socorro Dove,2436,Socorro Dove,Zenaida graysoni,Zenaida graysoni,Zenaida_graysoni
Columbina inca,22690762,Inca Dove,2261,Inca Dove,Columbina inca,Columbina inca,Columbina_inca
Columbina squammata,22690768,Scaled Dove,2295,Scaled Dove,Columbina squammata,Columbina squammata,Columbina_squammata
Columbina passerina,22690774,Common Ground-dove,2262,Common Ground Dove,Columbina passerina,Columbina passerina,Columbina_passerina
Columbina minuta,22690779,Plain-breasted Ground-dove,2281,Plain-breasted Ground Dove,Columbina minuta,Columbina minuta,Columbina_minuta
Columbina buckleyi,22690789,Ecuadorian Ground-dove,2292,Ecuadorian Ground Dove,Columbina buckleyi,Columbina buckleyi,Columbina_buckleyi
Columbina talpacoti,22690784,Ruddy Ground-dove,2286,Ruddy Ground Dove,Columbina talpacoti,Columbina talpacoti,Columbina_talpacoti
Columbina picui,22690794,Picui Ground-dove,2298,Picui Ground Dove,Columbina picui,Columbina picui,Columbina_picui
Columbina cruziana,22690799,Croaking Ground-dove,2301,Croaking Ground Dove,Columbina cruziana,Columbina cruziana,Columbina_cruziana
Columbina cyanopis,22690804,Blue-eyed Ground-dove,2302,Blue-eyed Ground Dove,Columbina cyanopis,Columbina cyanopis,Columbina_cyanopis
Claravis pretiosa,22690809,Blue Ground-dove,2304,Blue Ground Dove,Claravis pretiosa,Claravis pretiosa,Claravis_pretiosa
Paraclaravis mondetoura,22690814,Maroon-chested Ground-dove,2305,Maroon-chested Ground Dove,Paraclaravis mondetoura,Paraclaravis mondetoura,Claravis_mondetoura
Paraclaravis geoffroyi,22690819,Purple-winged Ground-dove,2312,Purple-winged Ground Dove,Paraclaravis geoffroyi,Paraclaravis geoffroyi,Claravis_godefrida
Metriopelia ceciliae,22690829,Bare-faced Ground-dove,2313,Bare-faced Ground Dove,Metriopelia ceciliae,Metriopelia ceciliae,Metriopelia_ceciliae
Metriopelia morenoi,22690834,Moreno's Ground-dove,2317,Bare-eyed Ground Dove,Metriopelia morenoi,Metriopelia morenoi,Metriopelia_morenoi
Metriopelia melanoptera,22690839,Black-winged Ground-dove,2318,Black-winged Ground Dove,Metriopelia melanoptera,Metriopelia melanoptera,Metriopelia_melanoptera
Metriopelia aymara,22690844,Golden-spotted Ground-dove,2321,Golden-spotted Ground Dove,Metriopelia aymara,Metriopelia aymara,Metriopelia_aymara
Uropelia campestris,22690849,Long-tailed Ground-dove,2322,Long-tailed Ground Dove,Uropelia campestris,Uropelia campestris,Uropelia_campestris
Henicophaps albifrons,22690661,New Guinea Bronzewing,2198,New Guinea Bronzewing,Henicophaps albifrons,Henicophaps albifrons,Henicophaps_albifrons
Henicophaps foersteri,22690664,New Britain Bronzewing,2201,New Britain Bronzewing,Henicophaps foersteri,Henicophaps foersteri,Henicophaps_foersteri
Gallicolumba luzonica,22690979,Luzon Bleeding-heart,2456,Luzon Bleeding-heart,Gallicolumba luzonica,Gallicolumba luzonica,Gallicolumba_luzonica
Gallicolumba crinigera,22690991,Mindanao Bleeding-heart,2460,Mindanao Bleeding-heart,Gallicolumba crinigera,Gallicolumba crinigera,Gallicolumba_crinigera
Gallicolumba platenae,22690985,Mindoro Bleeding-heart,2453,Mindoro Bleeding-heart,Gallicolumba platenae,Gallicolumba platenae,Gallicolumba_platenae
Gallicolumba keayi,22690988,Negros Bleeding-heart,2454,Negros Bleeding-heart,Gallicolumba keayi,Gallicolumba keayi,Gallicolumba_keayi
Gallicolumba menagei,22691005,Sulu Bleeding-heart,2455,Sulu Bleeding-heart,Gallicolumba menagei,Gallicolumba menagei,Gallicolumba_menagei
Gallicolumba tristigmata,22691014,Sulawesi Ground-dove,2443,Sulawesi Ground Dove,Gallicolumba tristigmata,Gallicolumba tristigmata,Gallicolumba_tristigmata
Gallicolumba rufigula,22691009,Cinnamon Ground-dove,2447,Cinnamon Ground Dove,Gallicolumba rufigula,Gallicolumba rufigula,Gallicolumba_rufigula
Pampusana hoedtii,22691076,Wetar Ground-dove,2202,Wetar Ground Dove,Pampusana hoedtii,Pampusana hoedtii,Gallicolumba_hoedtii
Pampusana jobiensis,22691019,White-breasted Ground-dove,2217,White-bibbed Ground Dove,Pampusana jobiensis,Pampusana jobiensis,Gallicolumba_jobiensis
Pampusana kubaryi,22691024,Caroline Ground-dove,2221,Caroline Islands Ground Dove,Pampusana kubaryi,Pampusana kubaryi,Gallicolumba_kubaryi
Pampusana xanthonura,22691037,White-throated Ground-dove,2223,White-throated Ground Dove,Pampusana xanthonura,Pampusana xanthonura,Gallicolumba_xanthonura
Pampusana erythroptera,22691030,Polynesian Ground-dove,2222,Polynesian Ground Dove,Pampusana erythroptera,Pampusana erythroptera,Gallicolumba_erythroptera
Pampusana rubescens,22691061,Marquesas Ground-dove,2220,Marquesas Ground Dove,Pampusana rubescens,Pampusana rubescens,Gallicolumba_rubescens
Pampusana beccarii,60444792,Western Bronze Ground-dove,2207,Bronze Ground Dove,Pampusana beccarii,Pampusana beccarii,Gallicolumba_beccarii
Pampusana beccarii,60444792,Western Bronze Ground-dove,2208,Bronze Ground Dove (Western),Pampusana beccarii beccarii,Pampusana beccarii,Gallicolumba_beccarii
Pampusana beccarii,60444792,Western Bronze Ground-dove,2209,Bronze Ground Dove (Eastern),Pampusana beccarii [johannae Group],Pampusana beccarii,Gallicolumba_beccarii
Pampusana canifrons,22691071,Palau Ground-dove,2216,Palau Ground Dove,Pampusana canifrons,Pampusana canifrons,Gallicolumba_canifrons
Pampusana sanctaecrucis,22691047,Santa Cruz Ground-dove,2204,Santa Cruz Ground Dove,Pampusana sanctaecrucis,Pampusana sanctaecrucis,Gallicolumba_sanctaecrucis
Pampusana stairi,22691042,Shy Ground-dove,2203,Shy Ground Dove,Pampusana stairi,Pampusana stairi,Gallicolumba_stairi
Leucosarcia melanoleuca,22690727,Wonga Pigeon,2249,Wonga Pigeon,Leucosarcia melanoleuca,Leucosarcia melanoleuca,Leucosarcia_melanoleuca
Petrophassa rufipennis,22690700,Chestnut-quilled Rock-pigeon,2245,Chestnut-quilled Rock-Pigeon,Petrophassa rufipennis,Petrophassa rufipennis,Petrophassa_rufipennis
Petrophassa albipennis,22690695,White-quilled Rock-pigeon,2246,White-quilled Rock-Pigeon,Petrophassa albipennis,Petrophassa albipennis,Petrophassa_albipennis
Geophaps plumifera,22690682,Spinifex Pigeon,2234,Spinifex Pigeon,Geophaps plumifera,Geophaps plumifera,Geophaps_plumifera
Geophaps plumifera,22690682,Spinifex Pigeon,2235,Spinifex Pigeon (Rufous-bellied),Geophaps plumifera ferruginea,Geophaps plumifera,Geophaps_plumifera
Geophaps plumifera,22690682,Spinifex Pigeon,2236,Spinifex Pigeon (White-bellied),Geophaps plumifera plumifera/leucogaster,Geophaps plumifera,Geophaps_plumifera
Geophaps scripta,22690692,Squatter Pigeon,2239,Squatter Pigeon,Geophaps scripta,Geophaps scripta,Geophaps_scripta
Geophaps smithii,22690689,Partridge Pigeon,2242,Partridge Pigeon,Geophaps smithii,Geophaps smithii,Geophaps_smithii
Phaps chalcoptera,22690667,Common Bronzewing,2225,Common Bronzewing,Phaps chalcoptera,Phaps chalcoptera,Phaps_chalcoptera
Phaps elegans,22690670,Brush Bronzewing,2226,Brush Bronzewing,Phaps elegans,Phaps elegans,Phaps_elegans
Phaps histrionica,22690673,Flock Bronzewing,2230,Flock Bronzewing,Phaps histrionica,Phaps histrionica,Phaps_histrionica
Ocyphaps lophotes,22690676,Crested Pigeon,2231,Crested Pigeon,Ocyphaps lophotes,Ocyphaps lophotes,Ocyphaps_lophotes
Geopelia cuneata,22690705,Diamond Dove,2250,Diamond Dove,Geopelia cuneata,Geopelia cuneata,Geopelia_cuneata
Geopelia striata,22690708,Zebra Dove,2251,Zebra Dove,Geopelia striata,Geopelia striata,Geopelia_striata
Geopelia placida,22690719,Peaceful Dove,2252,Peaceful Dove,Geopelia placida,Geopelia placida,Geopelia_placida
Geopelia maugeus,22690716,Barred Dove,2256,Barred Dove,Geopelia maugeus,Geopelia maugeus,Geopelia_maugeus
Geopelia humeralis,22690724,Bar-shouldered Dove,2257,Bar-shouldered Dove,Geopelia humeralis,Geopelia humeralis,Geopelia_humeralis
Trugon terrestris,22691081,Thick-billed Ground-pigeon,2465,Thick-billed Ground-Pigeon,Trugon terrestris,Trugon terrestris,Trugon_terrestris
Otidiphaps nobilis,22725247,Green-naped Pheasant-pigeon,2469,Pheasant Pigeon,Otidiphaps nobilis,Otidiphaps nobilis,Otidiphaps_nobilis
Otidiphaps nobilis,22725247,Green-naped Pheasant-pigeon,2470,Pheasant Pigeon (Green-naped),Otidiphaps nobilis nobilis,Otidiphaps nobilis,Otidiphaps_nobilis
Otidiphaps nobilis,22725247,Green-naped Pheasant-pigeon,2471,Pheasant Pigeon (White-naped),Otidiphaps nobilis aruensis,Otidiphaps nobilis,Otidiphaps_nobilis
Otidiphaps nobilis,22725247,Green-naped Pheasant-pigeon,2472,Pheasant Pigeon (Gray-naped),Otidiphaps nobilis cervicalis,Otidiphaps nobilis,Otidiphaps_nobilis
Otidiphaps nobilis,22725247,Green-naped Pheasant-pigeon,2473,Pheasant Pigeon (Black-naped),Otidiphaps nobilis insularis,Otidiphaps nobilis,Otidiphaps_nobilis
Goura cristata,22691865,Western Crowned-pigeon,2474,Western Crowned-Pigeon,Goura cristata,Goura cristata,Goura_cristata
Goura sclaterii,45014476,Sclater's Crowned-pigeon,2475,Sclater's Crowned-Pigeon,Goura sclaterii,Goura sclaterii,Goura_scheepmakeri
Goura scheepmakeri,45014473,Scheepmaker's Crowned-pigeon,2476,Scheepmaker's Crowned-Pigeon,Goura scheepmakeri,Goura scheepmakeri,Goura_scheepmakeri
Goura victoria,22691874,Victoria Crowned-pigeon,2477,Victoria Crowned-Pigeon,Goura victoria,Goura victoria,Goura_victoria
Caloenas nicobarica,22690974,Nicobar Pigeon,2437,Nicobar Pigeon,Caloenas nicobarica,Caloenas nicobarica,Caloenas_nicobarica
Didunculus strigirostris,22691890,Tooth-billed Pigeon,2481,Tooth-billed Pigeon,Didunculus strigirostris,Didunculus strigirostris,Didunculus_strigirostris
Chalcophaps indica,22725538,Grey-capped Emerald Dove,2181,Asian Emerald Dove,Chalcophaps indica,Chalcophaps indica,Chalcophaps_indica
Chalcophaps longirostris,22725548,Brown-capped Emerald Dove,2188,Pacific Emerald Dove,Chalcophaps longirostris,Chalcophaps longirostris,Chalcophaps_indica
Chalcophaps stephani,22690657,Stephan's Dove,2194,Stephan's Dove,Chalcophaps stephani,Chalcophaps stephani,Chalcophaps_stephani
Turtur chalcospilos,22690621,Emerald-spotted Wood-dove,2170,Emerald-spotted Wood-Dove,Turtur chalcospilos,Turtur chalcospilos,Turtur_chalcospilos
Turtur abyssinicus,22690614,Black-billed Wood-dove,2171,Black-billed Wood-Dove,Turtur abyssinicus,Turtur abyssinicus,Turtur_abyssinicus
Turtur afer,22690628,Blue-spotted Wood-dove,2172,Blue-spotted Wood-Dove,Turtur afer,Turtur afer,Turtur_afer
Turtur tympanistria,22690635,Tambourine Dove,2173,Tambourine Dove,Turtur tympanistria,Turtur tympanistria,Turtur_tympanistria
Turtur brehmeri,22690639,Blue-headed Wood-dove,2174,Blue-headed Wood-Dove,Turtur brehmeri,Turtur brehmeri,Turtur_brehmeri
Oena capensis,22690645,Namaqua Dove,2178,Namaqua Dove,Oena capensis,Oena capensis,Oena_capensis
Phapitreron leucotis,22727826,White-eared Brown-dove,2482,White-eared Brown-Dove,Phapitreron leucotis,Phapitreron leucotis,Phapitreron_leucotis
Phapitreron leucotis,22727826,White-eared Brown-dove,2483,White-eared Brown-Dove (White-eared),Phapitreron leucotis leucotis,Phapitreron leucotis,Phapitreron_leucotis
Phapitreron leucotis,22727826,White-eared Brown-dove,2484,White-eared Brown-Dove (Buff-eared),Phapitreron leucotis nigrorum,Phapitreron leucotis,Phapitreron_leucotis
Phapitreron leucotis,22727826,White-eared Brown-dove,2485,White-eared Brown-Dove (Short-billed),Phapitreron leucotis brevirostris/occipitalis,Phapitreron leucotis,Phapitreron_leucotis
Phapitreron amethystinus,60543351,Amethyst Brown-dove,2488,Amethyst Brown-Dove,Phapitreron amethystinus,Phapitreron amethystinus,Phapitreron_amethystinus
Phapitreron amethystinus,60543351,Amethyst Brown-dove,2489,Amethyst Brown-Dove (Amethyst),Phapitreron amethystinus amethystinus/imeldae,Phapitreron amethystinus,Phapitreron_amethystinus
Phapitreron amethystinus,60543351,Amethyst Brown-dove,2492,Amethyst Brown-Dove (Gray-breasted),Phapitreron amethystinus maculipectus,Phapitreron amethystinus,Phapitreron_amethystinus
Phapitreron amethystinus,60543351,Amethyst Brown-dove,2493,Amethyst Brown-Dove (Cebu),Phapitreron amethystinus frontalis,Phapitreron amethystinus,Phapitreron_amethystinus
Phapitreron brunneiceps,22724523,Dark-eared Brown-dove,2494,Mindanao Brown-Dove,Phapitreron brunneiceps,Phapitreron brunneiceps,Phapitreron_brunneiceps
Phapitreron cinereiceps,22691121,Tawitawi Brown-dove,2495,Tawitawi Brown-Dove,Phapitreron cinereiceps,Phapitreron cinereiceps,Phapitreron_cinereiceps
Treron fulvicollis,22691127,Cinnamon-headed Green-pigeon,2499,Cinnamon-headed Green-Pigeon,Treron fulvicollis,Treron fulvicollis,Treron_fulvicollis
Treron olax,22691132,Little Green-pigeon,2497,Little Green-Pigeon,Treron olax,Treron olax,Treron_olax
Treron vernans,22691137,Pink-necked Green-pigeon,2498,Pink-necked Green-Pigeon,Treron vernans,Treron vernans,Treron_vernans
Treron bicinctus,22691142,Orange-breasted Green-pigeon,2504,Orange-breasted Green-Pigeon,Treron bicinctus,Treron bicinctus,Treron_bicinctus
Treron phayrei,22726285,Ashy-headed Green-pigeon,2512,Ashy-headed Green-Pigeon,Treron phayrei,Treron phayrei,Treron_pompadora
Treron affinis,22725554,Grey-fronted Green-pigeon,2510,Gray-fronted Green-Pigeon,Treron affinis,Treron affinis,Treron_pompadora
Treron pompadora,22725560,Sri Lanka Green-pigeon,2509,Sri Lanka Green-Pigeon,Treron pompadora,Treron pompadora,Treron_pompadora
Treron chloropterus,22726279,Andaman Green-pigeon,2511,Andaman Green-Pigeon,Treron chloropterus,Treron chloropterus,Treron_pompadora
Treron axillaris,22726291,Philippine Green-pigeon,2515,Philippine Green-Pigeon,Treron axillaris,Treron axillaris,Treron_pompadora
Treron aromaticus,22726297,Buru Green-pigeon,2520,Buru Green-Pigeon,Treron aromaticus,Treron aromaticus,Treron_pompadora
Treron curvirostra,22691160,Thick-billed Green-pigeon,2521,Thick-billed Green-Pigeon,Treron curvirostra,Treron curvirostra,Treron_curvirostra
Treron curvirostra,22691160,Thick-billed Green-pigeon,2522,Thick-billed Green-Pigeon (Thick-billed),Treron curvirostra curvirostra,Treron curvirostra,Treron_curvirostra
Treron curvirostra,22691160,Thick-billed Green-pigeon,2523,Thick-billed Green-Pigeon (Barusan),Treron curvirostra hypothapsinus,Treron curvirostra,Treron_curvirostra
Treron griseicauda,22691165,Grey-cheeked Green-pigeon,2524,Gray-cheeked Green-Pigeon,Treron griseicauda,Treron griseicauda,Treron_griseicauda
Treron teysmannii,22691178,Sumba Green-pigeon,2529,Sumba Green-Pigeon,Treron teysmannii,Treron teysmannii,Treron_teysmannii
Treron floris,22691170,Flores Green-pigeon,2530,Flores Green-Pigeon,Treron floris,Treron floris,Treron_floris
Treron psittaceus,22691186,Timor Green-pigeon,2531,Timor Green-Pigeon,Treron psittaceus,Treron psittaceus,Treron_psittaceus
Treron capellei,22691198,Large Green-pigeon,2532,Large Green-Pigeon,Treron capellei,Treron capellei,Treron_capellei
Treron phoenicopterus,22691203,Yellow-footed Green-pigeon,2533,Yellow-footed Green-Pigeon,Treron phoenicopterus,Treron phoenicopterus,Treron_phoenicopterus
Treron waalia,22691212,Bruce's Green-pigeon,2539,Bruce's Green-Pigeon,Treron waalia,Treron waalia,Treron_waalia
Treron griveaudi,22728176,Comoro Green-pigeon,2540,Comoro Green-Pigeon,Treron griveaudi,Treron griveaudi,Treron_calvus
Treron australis,22727848,Madagascar Green-pigeon,2541,Madagascar Green-Pigeon,Treron australis,Treron australis,Treron_calvus
Treron calvus,45433492,African Green-pigeon,2553,African Green-Pigeon,Treron calvus,Treron calvus,Treron_calvus
Treron calvus,45433492,African Green-pigeon,2554,African Green-Pigeon (African),Treron calvus [calvus Group],Treron calvus,Treron_calvus
Treron calvus,45433492,African Green-pigeon,2568,African Green-Pigeon (Gray-breasted),Treron calvus delalandii/granti,Treron calvus,Treron_calvus
Treron pembaensis,22691236,Pemba Green-pigeon,2544,Pemba Green-Pigeon,Treron pembaensis,Treron pembaensis,Treron_pembaensis
Treron sanctithomae,22691227,Sao Tome Green-pigeon,2545,Sao Tome Green-Pigeon,Treron sanctithomae,Treron sanctithomae,Treron_sanctithomae
Treron apicauda,22691252,Pin-tailed Green-pigeon,2549,Pin-tailed Green-Pigeon,Treron apicauda,Treron apicauda,Treron_apicauda
Treron oxyurus,22691257,Sumatran Green-pigeon,2571,Sumatran Green-Pigeon,Treron oxyurus,Treron oxyurus,Treron_oxyurus
Treron seimundi,22691269,Yellow-vented Green-pigeon,2546,Yellow-vented Green-Pigeon,Treron seimundi,Treron seimundi,Treron_seimundi
Treron sphenurus,22691274,Wedge-tailed Green-pigeon,2572,Wedge-tailed Green-Pigeon,Treron sphenurus,Treron sphenurus,Treron_sphenurus
Treron sieboldii,22691283,White-bellied Green-pigeon,2576,White-bellied Green-Pigeon,Treron sieboldii,Treron sieboldii,Treron_sieboldii
Treron formosae,22727539,Taiwan Green-pigeon,2580,Whistling Green-Pigeon,Treron formosae,Treron formosae,Treron_formosae
Treron formosae,22727539,Taiwan Green-pigeon,2581,Whistling Green-Pigeon (Ryukyu),Treron formosae permagnus/medioximus,Treron formosae,Treron_formosae
Treron formosae,22727539,Taiwan Green-pigeon,2584,Whistling Green-Pigeon (Taiwan),Treron formosae formosae/filipinus,Treron formosae,Treron_formosae
Ducula poliocephala,22691611,Pink-bellied Imperial-pigeon,2745,Pink-bellied Imperial-Pigeon,Ducula poliocephala,Ducula poliocephala,Ducula_poliocephala
Ducula forsteni,22691617,White-bellied Imperial-pigeon,2746,White-bellied Imperial-Pigeon,Ducula forsteni,Ducula forsteni,Ducula_forsteni
Ducula mindorensis,22691622,Mindoro Imperial-pigeon,2747,Mindoro Imperial-Pigeon,Ducula mindorensis,Ducula mindorensis,Ducula_mindorensis
Ducula radiata,22691629,Grey-headed Imperial-pigeon,2748,Gray-headed Imperial-Pigeon,Ducula radiata,Ducula radiata,Ducula_radiata
Ducula carola,22691634,Spotted Imperial-pigeon,2749,Spotted Imperial-Pigeon,Ducula carola,Ducula carola,Ducula_carola
Ducula aenea,200094385,Green Imperial-pigeon,2753,Green Imperial-Pigeon,Ducula aenea,Ducula aenea,Ducula_aenea
Ducula aenea,200094385,Green Imperial-pigeon,2754,Green Imperial-Pigeon (Green),Ducula aenea [aenea Group],Ducula aenea,Ducula_aenea
Ducula aenea,200094385,Green Imperial-pigeon,2764,Green Imperial-Pigeon (Maroon-naped),Ducula aenea nuchalis,Ducula aenea,Ducula_aenea
Ducula aenea,200094385,Green Imperial-pigeon,2765,Green Imperial-Pigeon (Rufous-naped),Ducula aenea paulina,Ducula aenea,Ducula_aenea
Ducula nicobarica,200093329,Nicobar Imperial-pigeon,2767,Nicobar Imperial-Pigeon,Ducula nicobarica,Ducula nicobarica,Ducula_aenea
Ducula oenothorax,22725573,Enggano Imperial-pigeon,2766,Enggano Imperial-Pigeon,Ducula oenothorax,Ducula oenothorax,Ducula_aenea
Ducula perspicillata,45447765,Spectacled Imperial-pigeon,2768,Spectacled Imperial-Pigeon,Ducula perspicillata,Ducula perspicillata,Ducula_perspicillata
Ducula neglecta,45447768,Seram Imperial-pigeon,2769,Seram Imperial-Pigeon,Ducula neglecta,Ducula neglecta,Ducula_perspicillata
Ducula concinna,22691653,Blue-tailed Imperial-pigeon,2770,Elegant Imperial-Pigeon,Ducula concinna,Ducula concinna,Ducula_concinna
Ducula pacifica,22691658,Pacific Imperial-pigeon,2771,Pacific Imperial-Pigeon,Ducula pacifica,Ducula pacifica,Ducula_pacifica
Ducula oceanica,22691663,Micronesian Imperial-pigeon,2777,Micronesian Imperial-Pigeon,Ducula oceanica,Ducula oceanica,Ducula_oceanica
Ducula aurorae,22691668,Polynesian Imperial-pigeon,2783,Polynesian Imperial-Pigeon,Ducula aurorae,Ducula aurorae,Ducula_aurorae
Ducula galeata,22691674,Nukuhiva Imperial-pigeon,2786,Marquesas Imperial-Pigeon,Ducula galeata,Ducula galeata,Ducula_galeata
Ducula rubricera,22691680,Red-knobbed Imperial-pigeon,2774,Red-knobbed Imperial-Pigeon,Ducula rubricera,Ducula rubricera,Ducula_rubricera
Ducula rubricera,22691680,Red-knobbed Imperial-pigeon,2775,Red-knobbed Imperial-Pigeon (Pink-necked),Ducula rubricera rubricera,Ducula rubricera,Ducula_rubricera
Ducula rubricera,22691680,Red-knobbed Imperial-pigeon,2776,Red-knobbed Imperial-Pigeon (Gray-necked),Ducula rubricera rufigula,Ducula rubricera,Ducula_rubricera
Ducula myristicivora,22728096,Spice Imperial-pigeon,2787,Spice Imperial-Pigeon,Ducula myristicivora,Ducula myristicivora,Ducula_myristicivora
Ducula geelvinkiana,22728104,Geelvink Imperial-pigeon,2788,Geelvink Imperial-Pigeon,Ducula geelvinkiana,Ducula geelvinkiana,Ducula_myristicivora
