ebird_species_name,beak_width,hwi,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle
Metriopelia aymara,2.7,39.2,61.8,Grassland,3,1,Herbivore,Granivore,Terrestrial
Metriopelia ceciliae,2.8,25.4,55.1,Shrubland,3,1,Herbivore,Granivore,Terrestrial
Metriopelia melanoptera,3,38.4,100,Shrubland,3,1,Herbivore,Granivore,Terrestrial
Metriopelia morenoi,2.8,27.2,28.6,Shrubland,3,1,Herbivore,Granivore,Terrestrial
Nesoenas mayeri,5.1,29.8,302.8,Forest,3,1,Herbivore,Omnivore,Generalist
Ocyphaps lophotes,4.2,40,204,Grassland,3,1,Herbivore,Omnivore,Terrestrial
Oena capensis,2.1,39.3,40.6,Shrubland,3,2,Herbivore,Granivore,Terrestrial
Otidiphaps nobilis,4.3,15.2,500,Forest,2,2,Herbivore,Omnivore,Terrestrial
Paraclaravis geoffroyi,3.4,34.7,43.5,Forest,1,2,Herbivore,Granivore,Terrestrial
Paraclaravis mondetoura,2.8,28.3,89.7,Forest,1,2,Herbivore,Granivore,Terrestrial
Patagioenas araucana,5,37,270,Forest,2,2,Herbivore,Frugivore,Insessorial
Patagioenas caribaea,5.5,35.3,250,Forest,2,1,Herbivore,Frugivore,Insessorial
Patagioenas cayennensis,4.6,35.1,229,Forest,3,1,Herbivore,Frugivore,Insessorial
Patagioenas corensis,4.8,34.8,272.3,Shrubland,2,1,Herbivore,Omnivore,Insessorial
Patagioenas fasciata,6,36,366.3,Forest,2,1,Herbivore,Granivore,Terrestrial
Patagioenas flavirostris,4,35.6,270.8,Woodland,2,1,Herbivore,Frugivore,Insessorial
Patagioenas goodsoni,4,34.2,176,Forest,2,1,Herbivore,Frugivore,Insessorial
Patagioenas inornata,4.6,39,365,Forest,2,1,Herbivore,Omnivore,Insessorial
Patagioenas leucocephala,5.3,33.9,240.1,Woodland,2,1,Herbivore,Frugivore,Insessorial
Patagioenas maculosa,4.6,38.8,347,Woodland,2,1,Herbivore,Granivore,Terrestrial
Patagioenas nigrirostris,5,34.4,176,Forest,2,1,Herbivore,Frugivore,Insessorial
Patagioenas oenops,4.3,35.7,264.6,Forest,2,1,Herbivore,Granivore,Insessorial
Patagioenas picazuro,4.8,37.6,279,Forest,3,1,Herbivore,Omnivore,Generalist
Patagioenas plumbea,4.3,34.9,178.8,Forest,1,1,Herbivore,Frugivore,Insessorial
Patagioenas speciosa,4.8,36.5,258.5,Forest,1,1,Herbivore,Frugivore,Insessorial
Patagioenas squamosa,4.4,35.6,312,Forest,2,1,Herbivore,Frugivore,Insessorial
Patagioenas subvinacea,3.8,34.3,162.5,Forest,2,1,Herbivore,Frugivore,Insessorial
Petrophassa albipennis,3.5,24.4,124.3,Rock,3,1,Herbivore,Granivore,Terrestrial
Petrophassa rufipennis,3.6,21.3,159,Rock,3,1,Herbivore,Granivore,Terrestrial
Phapitreron amethystinus,5.4,33.9,145,Forest,1,1,Herbivore,Omnivore,Insessorial
Phapitreron brunneiceps,4.6,36.3,146,Forest,1,1,Herbivore,Omnivore,Insessorial
Phapitreron cinereiceps,4.7,32.5,146,Forest,1,1,Herbivore,Omnivore,Insessorial
Phapitreron leucotis,4,34,108,Forest,1,1,Herbivore,Frugivore,Insessorial
Phaps chalcoptera,3.8,39,330.7,Forest,3,1,Herbivore,Granivore,Terrestrial
Phaps elegans,3.7,30.7,211.4,Woodland,2,1,Herbivore,Granivore,Terrestrial
Phaps histrionica,4.2,43.9,289,Grassland,3,1,Herbivore,Granivore,Terrestrial
Ptilinopus alligator,5.4,33.5,243,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus arcanus,3.5,25.3,85.9,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus aurantiifrons,4.7,30.4,152,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus bernsteinii,4.3,30.6,118.5,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus chalcurus,3.5,25.6,97.6,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus cinctus,4.4,27.7,243,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus coralensis,3.7,25.7,83.2,Forest,2,1,Omnivore,Omnivore,Terrestrial
Ptilinopus coronulatus,3.7,29.1,76.6,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus dohertyi,5.2,30.7,243,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus dupetithouarsii,4.5,32.3,99.5,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus epius,6.2,25.2,142,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus eugeniae,4.2,31,114,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus fischeri,5,27.3,177,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus granulifrons,5,28.1,136.5,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus greyi,3.8,30.2,82.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus hernsheimi,4.1,28.8,105,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus huttoni,4.8,25.9,130,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus hyogastrus,5.2,27.2,136.5,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus insolitus,4.6,29.8,136.5,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus insularis,5.2,25.2,104,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus iozonus,4.2,34.1,114,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus jambu,4.6,33,135,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus layardi,3.4,19.9,75.6,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus leclancheri,4.9,32.8,164,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus luteovirens,3.5,22.4,75,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus magnificus,4.7,28.7,185.4,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus mangoliensis,6.1,25.8,142,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus marchei,5.9,18.8,326,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus melanospilus,3.9,26.5,92,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus merrilli,5.6,22.7,263,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus monacha,3.4,29.6,53.9,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus nainus,2.8,26.3,49,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus occipitalis,4.3,26.7,238,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus ornatus,4.3,33,163,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus pelewensis,4.3,29.4,93,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus perlatus,5.7,30.1,210,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus perousii,3,28.2,93.5,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus ponapensis,4.1,28.6,105,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus porphyraceus,4.1,29.7,105,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus porphyreus,5,31.3,168,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus pulchellus,3.6,28,70,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus purpuratus,4.3,29.2,97.6,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus rarotongensis,3.9,24,97.6,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus regina,3.7,29.6,101.6,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus richardsii,4,29.6,103.9,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus rivoli,4.5,28.5,149,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus roseicapilla,4.5,27.6,90.4,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus solomonensis,4,27.7,108.5,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus subgularis,4.9,28,142,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus superbus,4.3,31.1,118,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus tannensis,5.1,28.6,208,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus victor,3.4,25.5,81,Woodland,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus viridis,4.3,30.1,121,Forest,2,1,Herbivore,Frugivore,Insessorial
Ptilinopus wallacii,4.7,34.5,208,Forest,2,1,Herbivore,Frugivore,Insessorial
Reinwardtoena browni,5.6,36.4,304,Forest,1,1,Herbivore,Frugivore,Insessorial
Reinwardtoena crassirostris,6.9,33.2,259,Forest,1,1,Herbivore,Frugivore,Insessorial
Reinwardtoena reinwardti,4.8,34.5,275,Forest,1,1,Herbivore,Frugivore,Insessorial
Starnoenas cyanocephala,3.7,30.2,219,Forest,1,1,Herbivore,Omnivore,Terrestrial
Streptopelia bitorquata,3.7,31,153,Woodland,3,1,Herbivore,Granivore,Terrestrial
Streptopelia capicola,3.2,32.6,142,Shrubland,3,1,Herbivore,Granivore,Terrestrial
Spilopelia chinensis,3.2,31,159,Woodland,3,1,Herbivore,Granivore,Terrestrial
Streptopelia decaocto,3.8,36.1,149,Human Modified,3,1,Herbivore,Omnivore,Terrestrial
Streptopelia decipiens,3.8,30.7,134,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Streptopelia dusumieri,3.6,32.2,153,Woodland,3,1,Herbivore,Granivore,Terrestrial
Streptopelia hypopyrrha,3.6,35.6,162,Forest,3,1,Herbivore,Granivore,Terrestrial
Streptopelia lugens,3.4,36.6,155,Forest,3,1,Herbivore,Omnivore,Terrestrial
Streptopelia orientalis,3.1,32.8,232.9,Woodland,3,3,Herbivore,Omnivore,Terrestrial
Nesoenas picturatus,3.8,35.4,176.8,Forest,2,1,Herbivore,Granivore,Terrestrial
Streptopelia reichenowi,3.3,30.9,119,Forest,2,1,Herbivore,Frugivore,Insessorial
Streptopelia roseogrisea,3.7,39.2,155,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Streptopelia semitorquata,3.6,36.6,176,Shrubland,3,1,Herbivore,Granivore,Terrestrial
Spilopelia senegalensis,2.7,34.2,82.1,Woodland,3,1,Herbivore,Granivore,Terrestrial
Streptopelia tranquebarica,3.4,39.6,103,Woodland,2,1,Herbivore,Granivore,Terrestrial
Streptopelia turtur,4.7,43.5,132,Woodland,2,3,Herbivore,Granivore,Terrestrial
Streptopelia vinacea,2.8,34.6,110,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Treron affinis,4.8,35.6,234,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron apicauda,5.4,35.3,217.2,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron aromaticus,4.8,35.2,234,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron australis,5.4,35.6,229,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron axillaris,5.3,36,234,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron bicinctus,4.9,38.1,174,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron calvus,6.3,38.1,197.5,Forest,2,2,Herbivore,Frugivore,Insessorial
Treron capellei,8.6,33.5,401.3,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron chloropterus,6.2,36,234,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron curvirostra,5.9,34.9,134.5,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron floris,6.1,29.9,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron formosae,5.6,35.5,140,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron fulvicollis,4.5,33.3,167,Woodland,2,1,Herbivore,Frugivore,Insessorial
Treron griseicauda,5.5,33.9,205.7,Grassland,2,1,Herbivore,Frugivore,Insessorial
Treron griveaudi,6.2,36.7,229,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron olax,4.1,34,77,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron oxyurus,5.5,35.6,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron pembaensis,5.9,36.2,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron phayrei,4.9,38.9,187,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron phoenicopterus,6.5,39.5,235,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron pompadora,4.9,37.8,234,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron psittaceus,6,32.9,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron sanctithomae,7.9,35.4,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron seimundi,6.1,33.9,157.8,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron sieboldii,5.1,37.6,245,Forest,2,2,Herbivore,Frugivore,Insessorial
Treron sphenurus,5.1,37.1,210,Forest,1,2,Herbivore,Frugivore,Insessorial
Treron teysmannii,6.1,33.1,205.7,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron vernans,4.7,32.8,132,Forest,2,1,Herbivore,Frugivore,Insessorial
Treron waalia,6.2,37,254,Woodland,2,2,Herbivore,Frugivore,Insessorial
Trugon terrestris,5.1,30.1,400,Forest,1,1,Herbivore,Granivore,Terrestrial
Turacoena manadensis,4.7,29.2,208.6,Forest,1,1,Herbivore,Frugivore,Insessorial
Turacoena modesta,4.8,32.8,340,Forest,1,1,Herbivore,Frugivore,Insessorial
Turacoena sulaensis,5.3,29.2,208.6,Forest,1,1,Herbivore,Frugivore,Insessorial
Turtur abyssinicus,2.2,30.9,62.7,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Turtur afer,2.1,28.2,65.6,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Turtur brehmeri,2.7,25.2,116,Forest,2,1,Omnivore,Omnivore,Terrestrial
Turtur chalcospilos,2.6,28.4,60.6,Shrubland,2,1,Herbivore,Granivore,Terrestrial
Turtur tympanistria,2.9,25.2,70.6,Forest,2,1,Herbivore,Granivore,Terrestrial
Uropelia campestris,2.1,19.9,35.2,Grassland,3,1,Herbivore,Granivore,Terrestrial
Zenaida asiatica,4.2,35.2,153,Shrubland,2,1,Herbivore,Granivore,Generalist
Zenaida auriculata,3.7,32.7,110.2,Human Modified,3,1,Herbivore,Granivore,Terrestrial
Zenaida aurita,2.8,33.6,156,Forest,3,1,Herbivore,Omnivore,Generalist
Zenaida galapagoensis,3.8,36.6,111,Woodland,3,1,Herbivore,Granivore,Generalist
Zenaida graysoni,4.3,26.4,192,Forest,1,1,Herbivore,Omnivore,Generalist
Zenaida macroura,2.7,36.6,118.9,Human Modified,3,1,Herbivore,Granivore,Terrestrial
Zenaida meloda,3.9,33.3,209.2,Shrubland,2,1,Herbivore,Granivore,Generalist
Zentrygon albifacies,3.7,25.2,238,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon carrikeri,5.7,23.1,267,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon chiriquensis,3.5,21.4,308,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon costaricensis,3.5,19.9,285.1,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon frenata,4.6,18.2,307,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon goldmani,5,18.4,258,Forest,1,1,Herbivore,Granivore,Terrestrial
Zentrygon lawrencii,3.4,24.3,220,Forest,1,1,Herbivore,Omnivore,Terrestrial
Zentrygon linearis,3.5,20,261,Forest,1,1,Herbivore,Granivore,Terrestrial
Ducula cuprea,7,28.3,486,Forest,2,1,Herbivore,Frugivore,Insessorial
