City Number	City	Country	Census Year	Population Estimate
1	Algiers	Algeria	1987	1,507,241
2	Buenos Aires	Argentina	1991	2,965,403
3	Sydney	Australia	1999	4,031,944
4	Dhaka	Bangladesh	1991	3,397,187
5	Belo Horizonte	Brazil	2000	2,154,161
6	Brasilia	Brazil	2000	2,016,497
7	Curitiba	Brazil	2000	1,618,279
8	Fortaleza	Brazil	2000	2,139,372
9	Recife	Brazil	2000	1,388,193
10	Rio de Janeiro	Brazil	2000	5,613,897
11	São Paulo	Brazil	2000	10,009,231
12	Toronto	Canada	1996	4,4030,92
13	Santiago	Chile	2000	4,7885,43
14	Beijing	China	1990	7,362,426
15	Chongqing	China	1990	3,127,178
16	Hong Kong	China	1999	6,843,000
17	Shanghai	China	1990	8,214,384
18	Wuhan	China	1990	4,040,113
19	Bogota	Colombia	2000	6,422,198
20	Cali	Colombia	2000	2,128,920
21	Medellín	Colombia	2000	1,885,001
22	Kinshasa	Congo	1984	2,664,309
23	Abidjan	Cote d Ivoire	1988	1,929,079
24	Santo Domingo	Dominican Republic	2001	2,677,056
25	Quito	Ecuador	2000	1,615,809
26	Alexandria	Egypt	1996	3,339,076
27	Cairo	Egypt	1996	6,800,992
28	Giza	Egypt	1996	2,221,817
29	San Salvador	El Salvador	2000	1,424,000
30	Bristol	England1	2003	3,915,000
31	London	England	1996	7,074,265
32	Addis Ababa	Ethiopia	1999	2,424,000
33	Paris	France	1990	2,152,329
34	Berlin	Germany	1999	3,386,667
35	Budapest	Hungary	2000	1,825,000
36	Ahmedabad	India	1991	2,954,526
37	Bengaluru	India	1991	3,302,296
38	Kolkata	India	1991	4,399,819
39	Chennai	India	1991	3,841,396
40	Mumbai	India	1991	9,925,891
41	Bogor	Indonesia	1997	5,000,100
42	Jakarta	Indonesia	1997	9,373,900
43	Medan	Indonesia	1997	1,988,200
44	Palembang	Indonesia	1997	1,415,500
45	Semarang	Indonesia	1997	2,221,700
46	Tehran	Iran	1996	6,758,845
47	Baghdad	Iraq	1987	3,841,268
48	Rome	Italy	1995	2,648,843
49	Nagoya	Japan	2000	2,171,378
50	Osaka	Japan	2000	2,598,589
51	Tokyo	Japan	2000	8,130,408
52	Pyongyang	Korea	1993	2,741,260
53	Bamako	Mali	1999	1,114,000
54	Casablanca	Morocco	1993	2,943,000
55	Karachi	Pakistan	1998	9,339,023
56	Lima	Peru	1993	5,681,941
57	Quezon City	Philippines	1995	1,989,419
58	Moscow	Russia	1999	8,297,056
59	Saint Petersburg	Russia	1999	4,678,102
60	Dakar	Senegal	1999	1,968,000
61	Singapore	Singapore	1999	3,894,000
62	Madrid	Spain	1998	2,823,667
63	Dar es Salaam	Tanzania	1988	1,360,850
64	Bangkok	Thailand	1999	7,506,700
65	Ankara	Turkey	1997	2,984,099
66	Istanbul	Turkey	1997	8,260,438
67	Izmir	Turkey	1997	2,081,556
68	Chicago	USA	2000	2,896,016
69	Houston	USA	2000	1,953,631
70	Los Angeles	USA	2000	3,694,820
71	New York City	USA	2000	8,008,278
72	Tashkent	Uzbekistan	1999	2,142,700
73	Caracas	Venezuela	1990	1,823,222